pid,cat,cost,des,did,expdate,img1,img2,ngo,nprice,pname,quality,quant,scat,state,year
9,Vehicles,10000,"Bicycle is just 6 months old.",1,"2021-05-25 05:30:00.000000",bicycle.jpg,NULL,"Helping Hands",10000,Hero,used,0,Bicycles,2,2020
20,Appliances,30000,Whirlpool,3,"2021-05-11 05:30:00.000000",washing_machine.jpg,NULL,"Helping Hands",28000,WashingMachine,new,0,"Washing Machines",2,2020
21,Appliances,5000,Tristar,3,"2021-05-07 05:30:00.000000",hand_mixer.jpg,NULL,"Helping Hands",6000,HandMixer,new,0,"Kitchen Appliances",2,2020
24,Appliances,30000,"Everything you need in you bakery!",4,"2021-05-18 05:30:00.000000",StandMixer_HERO_V1_121119_325_V1_final.jpg,NULL,"Helping Hands",25000,StandMixer,used,0,"Kitchen Appliances",2,2020
29,Stationery,100,"Cello Techno Tip Blue",3,"2021-05-29 05:30:00.000000",cello_technotip.jpg,NULL,"Helping Hands",80,Pens,new,0,"Writing Materials",2,2020
101,Accessories,700,"1 pair.",100,"2021-06-03 05:30:00.000000",ear_rings.jpg,NULL,"Helping Hands",500,Earrings,new,1,Jewellery,1,2020
118,Appliances,40000,"1 tonne ACs",100,"2021-06-05 05:30:00.000000",ac.jpg,NULL,"Helping Hands",45000,"Split AC",new,2,ACs,1,2020
120,Furnitures,40000,"Queen Size Bed",100,"2021-06-02 05:30:00.000000",bed1.jpeg,bed2.jpeg,"For People",35000,Bed,new,2,Beds,1,2021
121,Vehicles,10000,"Smooth rides!",100,"2021-06-02 05:30:00.000000",cycle_b_1.jpeg,cycle_b_2.jpeg,"For People",9000,Bicycle,used,3,Bicycles,1,2019
122,Furnitures,500,"Light and sturdy.",100,"2021-06-04 05:30:00.000000",chair2.jpeg,NULL,"For People",450,"Study Chairs",new,5,"Chairs and Dining",1,2021
123,Stationery,550,"Best for Engineering Drawing.",100,"2021-06-04 05:30:00.000000",drafter2.jpeg,drafter.jpg,"For People",450,"Mini Drafter",new,2,"Engineering Instruments",1,2020
124,Appliances,15000,"Keeps food fresh.",100,"2021-06-08 05:30:00.000000",fridge_blue.jpeg,fridge_blue2.jpeg,"Helping Hands",12000,Fridge,used,2,Refrigerators,1,2020
125,Furnitures,20000,"Very comfortable.",100,"2021-06-08 05:30:00.000000",leather_sofa_1.jpeg,leather_sofa_2.jpeg,"Helping Hands",18000,"Leather Sofa",new,2,Sofas,1,2020
126,Clothing,500,"Get athletic!",100,"2021-06-08 05:30:00.000000",sportswear.jpg,NULL,"Helping Hands",450,"Running Tracks",new,10,"Sports Wear",1,2020
127,Appliances,25000,"Good quality",100,"2021-06-08 05:30:00.000000",washing_machine.jpg,NULL,"Helping Hands",23000,"Washing Machine",used,3,"Washing Machines",1,2019
128,Electronics,50000,HP,100,"2021-06-08 05:30:00.000000",hp_laptop.png,NULL,"Helping Hands",47000,Laptop,used,10,"Computers and Laptops",1,2018
129,Appliances,15000,"Make surviving power cuts easy!",100,"2021-06-11 05:30:00.000000",invertor.jpg,NULL,"For People",15000,Invertor,new,2,"Other Appliances",1,2019
130,Appliances,800,"Good quality",100,"2021-06-11 05:30:00.000000",fan.jpg,NULL,"For People",750,Fans,used,2,"Lights and Fans",1,2019
132,Vehicles,20000,"Heavy duty",100,"2021-06-10 05:30:00.000000",truck.jpg,NULL,"Happy Minds",18000,Truck,used,3,Trucks,1,2020
133,Vehicles,15000,"High quality",100,"2021-06-10 05:30:00.000000",auto.png,NULL,"Happy Minds",14000,Auto,used,6,Autos,1,2020
